Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
ene-16;0;27,449.20;178,437.60;0;104,377.60;0;0;748,970.64;0;546,876.54;729,211.43;0;16,000.00;0;0;162,512.74;0;0;0;987,507.78;0;0;0;3,501,343.52
feb-16;0;0;370,085.96;0;117,800.10;0;0;287,337.74;0;424,074.81;405,559.45;0;24,900.00;0;0;0;0;0;0;1,167,227.96;0;0;0;2,796,986.02
mar-16;0;2,716.52;264,193.10;0;111,203.62;0;0;504,451.07;25,081.90;508,542.18;771,024.11;0;13,000.00;0;0;181,497.47;0;0;0;1,498,844.95;0;0;0;3,880,554.92
abr-16;0;4,428.60;269,518.34;0;59,681.73;0;0;587,482.69;0;527,083.64;502,728.88;0;16,000.00;0;0;161,331.89;0;0;0;1,137,213.10;0;0;0;3,265,468.87
may-16;0;1,714.30;495,459.41;0;97,343.58;0;0;416,912.47;0;528,347.81;615,900.31;0;19,000.00;0;0;0;0;0;0;1,035,544.08;0;0;0;3,210,221.96
jun-16;0;2,142.90;400,963.62;0;81,862.33;0;0;703,319.23;0;397,477.40;502,082.45;0;16,000.00;0;0;0;0;0;0;800,222.53;0;0;0;2,904,070.46
jul-16;0;0;127,905.46;0;108,804.20;0;0;455,823.14;0;526,652.73;618,366.10;0;22,000.00;0;0;181,500.00;0;0;0;859,222.62;0;0;0;2,900,274.25
ago-16;0;428.6;246,976.30;0;147,462.11;0;0;588,310.54;285;512,202.57;625,218.90;0;20,000.00;0;0;181,492.85;0;0;0;701,185.75;0;0;0;3,023,562.62
sep-16;0;1,571.40;188,931.32;0;94,858.75;0;0;306,543.41;0;567,786.57;677,892.97;0;17,000.00;0;0;0;0;0;0;1,274,128.31;0;0;0;3,128,712.73
oct-16;0;1,428.60;62,511.80;0;81,839.62;0;0;717,388.57;0;455,850.76;546,154.65;0;26,173.00;0;0;0;0;0;0;927,923.50;0;0;0;2,819,270.50
nov-16;0;4,142.90;304,552.31;0;95,032.90;0;0;505,975.98;6,444.20;476,784.16;725,548.16;0;13,197.00;0;0;165,005.50;0;0;0;957,656.05;0;0;0;3,254,339.16
dic-16;0;3,857.00;306,550.77;0;158,719.36;0;0;584,807.19;0;473,659.59;526,573.96;0;31,039.20;0;0;160,560.68;0;0;0;1,303,735.78;0;0;0;3,549,503.52
ene-17;0;3,190.00;213,661.50;0;33,917.24;0;0;567,345.82;0;527,564.90;748,233.58;0;0;0;0;0;0;0;72.29;842,993.49;0;0;0;2,936,978.82
feb-17;0;714.3;72,649.78;0;152,952.20;0;0;279,527.23;21,844.81;469,140.06;497,707.41;0;1,040.00;0;0;0;0;0;0;844,676.98;0;0;0;2,340,252.77
mar-17;0;3,142.90;376,955.72;0;75,312.22;0;0;780,048.59;3,505.27;608,144.98;734,984.24;0;0;0;0;388,055.94;0;0;72.29;1,351,787.92;0;0;0;4,322,010.07
abr-17;0;1,285.71;106,518.75;0;154,934.13;0;0;530,578.14;508.27;681,303.11;632,843.41;0;0;0;0;404,822.98;0;0;72.29;1,406,022.43;0;0;0;3,918,889.22
may-17;0;1,285.71;160,374.50;0;105,375.23;0;0;604,702.55;3,193.64;386,088.18;442,311.09;0;0;0;0;0;0;0;72.29;889,926.86;0;0;0;2,593,330.05
jun-17;0;1,428.57;191,218.23;0;48,933.84;0;0;487,244.19;367.94;519,389.66;582,374.34;0;0;0;0;182,141.85;0;0;72.29;902,659.00;0;0;0;2,915,829.91
jul-17;0;1,857.14;85,356.63;0;54,997.21;0;0;510,428.14;0;433,026.08;769,214.06;0;0;0;0;0;0;0;0;994,338.30;0;0;0;2,849,217.56
ago-17;0;3,269.86;44,448.27;0;76,542.18;0;0;538,582.14;666.23;592,103.31;607,368.72;0;0;0;0;583,079.69;0;0;144.57;846,696.35;0;0;0;3,292,901.32
sep-17;0;3,857.14;218,358.99;0;125,724.44;0;0;350,294.57;0;316,435.22;401,678.98;0;0;0;0;0;0;0;72.29;925,397.87;0;0;0;2,341,819.50
oct-17;0;5,286.19;219,812.14;0;132,304.57;0;0;584,709.61;6,925.95;574,073.61;657,241.76;0;0;0;0;167,584.01;0;0;0;740,198.57;0;0;0;3,088,136.41
nov-17;0;10,880.53;127,575.05;0;24,435.17;0;0;935,986.51;0;434,963.36;504,247.31;0;0;0;0;0;0;0;72.29;1,135,350.10;0;0;0;3,173,510.32
dic-17;0;3,150.02;56,960.00;0;80,037.74;0;0;595,421.43;4,729.14;679,441.47;803,216.88;0;0;0;0;155,599.02;0;0;72.29;1,305,047.55;0;0;0;3,683,675.54
ene-18;0;5,302.14;134,033.14;0;92,894.94;1,153,831.89;21,987.53;396,363.05;0;571,858.06;535,784.70;0;0;0;0;0;0;0;78.78;0;0;0;0;2,912,134.23
feb-18;0;3,721.91;85,318.21;0;52,337.76;921,684.12;29,946.48;591,000.02;0;509,366.10;629,467.91;0;0;0;0;407,070.30;0;0;0.37;0;0;0;0;3,229,913.18
mar-18;0;6,182.35;84,988.82;0;23,906.14;889,227.10;12,064.95;644,245.40;15,747.16;563,899.06;529,507.15;0;0;0;0;418,762.45;0;0;74.03;0;0;0;0;3,188,604.61
abr-18;0;1,877.72;219,805.45;0;70,906.87;696,962.77;0;188,590.81;0;510,830.00;617,512.28;0;0;0;0;0;0;0;72.29;0;0;0;0;2,306,558.19
may-18;0;4,300.00;111,460.41;0;72,992.51;1,592,580.34;38,055.30;636,234.13;0;580,825.11;580,329.35;0;0;0;0;327,075.21;0;0;6.96;0;0;0;0;3,943,859.32
jun-18;0;6,413.00;130,426.60;0;34,249.65;777,679.91;0;618,811.33;21,208.26;463,620.61;558,257.59;0;1,000.00;0;0;0;0;0;144.57;0;0;0;0;2,611,811.52
jul-18;0;8,518.71;148,012.12;0;40,811.00;793,683.41;0;584,386.15;4,005.99;543,333.77;784,601.77;0;0;0;0;385,600.49;0;0;5.84;0;0;0;0;3,292,959.25
ago-18;0;3,434.71;214,625.41;0;81,985.47;1,281,364.78;0;408,658.63;20,437.54;663,834.04;541,557.34;0;0;0;0;0;0;0;74.63;0;0;0;0;3,215,972.55
sep-18;0;4,473.29;26,753.84;0;94,980.04;896,266.43;0;449,846.76;18,379.30;454,442.87;536,897.09;0;0;0;0;406,985.43;0;0;0;0;0;0;0;2,889,025.05
oct-18;0;4,285.71;150,085.74;0;55,219.75;992,682.04;6,049.00;600,230.45;2,395.30;726,044.35;663,440.34;0;0;0;0;418,296.61;0;0;74.94;0;0;0;0;3,618,804.23
nov-18;0;2,584.71;65,312.15;0;52,310.24;899,588.34;39,035.84;598,626.16;0;534,084.49;509,382.86;0;0;0;0;244,787.00;0;0;73.85;0;0;0;0;2,945,785.64
dic-18;0;2,588.13;84,669.38;0;87,868.41;792,198.66;0;614,887.00;0;535,639.97;631,652.56;0;0;0;0;438,155.24;0;0;83.27;0;0;0;0;3,187,742.62
ene-19;16,541.30;3,058.43;196,719.10;334;59,152.84;1,195,728.20;0;414,086.12;15,399.57;702,923.37;684,504.84;585.91;0;475.49;350.92;208,276.69;0;7,282.59;0.41;0;0;0;0;3,505,419.78
feb-19;21,619.99;8,794.74;100,485.14;307.6;101,570.62;1,208,476.16;0;460,518.80;1,801.96;469,437.28;521,555.38;545.97;0;1,911.93;342.55;279,583.39;0;11,978.35;144.57;0;0;0;0;3,189,074.42
mar-19;17,980.15;10,715.12;109,888.23;426.69;118,678.80;1,550,052.84;0;384,425.56;0;678,145.38;704,276.53;996.49;0;2,170.21;0;256,490.00;0;4,717.69;80.58;0;0;0;0;3,839,044.27
abr-19;17,450.33;3,114.36;280,702.33;512.67;76,765.06;1,215,209.05;39,866.57;670,633.92;14,371.63;867,761.34;656,495.95;477.01;0;1,944.32;0;276,252.72;0;5,112.74;147.59;0;0;0;0;4,126,817.59
