Fecha;Aceites lubricantes;Asfalto;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;"Mezclas
oleosas";Naftas;PetCoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;Orimulsión;Total
abr/2010;0.00;24,699.45;331,373.92;0.00;45,127.02;0.00;0.00;216,150.67;1,098.00;254,872.61;387,063.18;0.00;3,894.50;0.00;0.00;77,061.27;24,069.94;0.00;0.00;762,770.01;0.00;2,128,180.57
may/2010;0.00;20,105.26;365,270.01;0.00;37,381.07;0.00;0.00;215,523.54;957.00;238,903.31;381,811.18;0.00;4,776.00;0.00;0.00;87,377.40;55,436.64;0.00;0.00;721,668.18;0.00;2,129,209.59
jun/2010;0.00;13,669.01;344,237.89;0.00;38,418.83;0.00;0.00;226,415.07;940.00;251,896.39;385,981.10;0.00;9,185.70;0.00;0.00;86,113.28;55,113.23;0.00;0.00;683,236.54;0.00;2,095,207.04
jul/2010;0.00;10,977.10;291,849.33;0.00;47,085.53;0.00;0.00;243,063.35;1,094.00;278,700.49;422,481.80;0.00;8,863.10;0.00;0.00;45,959.65;38,570.85;0.00;0.00;721,584.60;0.00;2,110,229.80
ago/2010;0.00;10,044.77;212,469.47;0.00;45,197.12;0.00;0.00;245,908.42;1,279.00;268,917.79;410,176.39;0.00;6,961.30;0.00;0.00;95,323.09;12,877.01;0.00;0.00;695,796.33;0.00;2,004,950.68
sep/2010;0.00;19,136.32;211,385.25;0.00;36,057.49;0.00;0.00;233,404.90;1,694.00;266,975.25;396,429.75;0.00;9,110.60;0.00;0.00;89,908.23;57,336.39;0.00;0.00;687,553.88;0.00;2,008,992.05
oct/2010;0.00;23,496.93;216,834.49;0.00;38,697.10;0.00;0.00;236,852.35;777.00;275,031.21;418,305.07;0.00;5,718.60;0.00;0.00;63,264.58;46,381.13;0.00;0.00;745,415.51;0.00;2,070,773.96
nov/2010;0.00;24,354.93;251,863.66;0.00;33,407.71;0.00;0.00;255,841.85;1,538.00;273,452.94;409,652.73;0.00;10,443.00;0.00;0.00;71,750.75;23,969.94;0.00;0.00;785,917.40;0.00;2,142,192.90
dic/2010;0.00;21,599.07;156,863.43;0.00;41,025.05;0.00;0.00;251,825.20;1,124.00;320,807.17;466,766.78;0.00;10,620.70;0.00;0.00;94,478.95;53,169.71;0.00;0.00;843,762.00;0.00;2,262,042.06
ene/2011;0.00;17,369.80;264,151.18;0.00;30,823.29;0.00;0.00;244,328.91;1,295.00;285,089.04;411,737.33;0.00;12,512.00;0.00;0.00;106,612.99;49,396.74;0.00;0.00;850,696.79;0.00;2,274,013.07
feb/2011;0.00;20,587.76;259,856.17;0.00;26,917.52;0.00;0.00;228,479.00;940.00;269,301.38;391,131.10;0.00;11,411.50;0.00;0.00;100,367.74;39,015.88;0.00;0.00;819,940.50;0.00;2,167,948.55
mar/2011;0.00;25,683.06;395,111.72;0.00;34,478.80;0.00;0.00;255,792.92;1,475.00;281,453.75;393,160.91;0.00;11,433.80;0.00;0.00;118,505.59;52,874.84;0.00;0.00;900,485.91;0.00;2,470,456.30
abr/2011;0.00;29,703.34;539,928.57;0.00;34,179.80;0.00;0.00;237,582.68;1,107.00;285,598.37;386,749.27;0.00;12,796.60;0.00;0.00;106,152.20;34,616.09;0.00;0.00;797,527.23;0.00;2,465,941.15
may/2011;0.00;32,700.99;501,342.97;0.00;33,669.09;0.00;0.00;247,975.28;1,100.00;253,277.88;371,876.75;0.00;10,823.60;0.00;0.00;97,113.61;76,408.92;0.00;0.00;803,849.53;0.00;2,430,138.62
jun/2011;0.00;24,786.05;638,939.11;0.00;37,037.40;0.00;0.00;247,082.28;1,100.00;290,137.49;380,800.43;0.00;9,444.80;0.00;0.00;101,035.11;46,048.92;0.00;0.00;729,676.79;0.00;2,506,088.38
jul/2011;0.00;22,142.32;251,734.87;0.00;44,313.17;0.00;0.00;259,033.89;1,295.00;279,283.36;389,294.64;0.00;14,646.30;0.00;0.00;71,759.00;44,432.82;0.00;0.00;718,255.06;0.00;2,096,190.42
ago/2011;0.00;17,414.86;333,071.69;0.00;42,315.36;0.00;0.00;259,688.74;1,467.00;256,380.27;408,494.51;0.00;10,424.10;0.00;0.00;74,518.90;39,157.53;0.00;0.00;699,736.08;0.00;2,142,669.04
sep/2011;0.00;14,666.97;238,864.67;0.00;36,043.04;0.00;0.00;251,882.54;1,100.00;256,728.25;380,453.23;0.00;9,715.80;0.00;0.00;63,847.96;39,066.80;0.00;0.00;660,384.93;0.00;1,952,754.18
oct/2011;0.00;13,711.35;239,305.91;0.00;37,096.07;0.00;0.00;262,255.14;745.00;242,071.01;381,309.50;0.00;10,170.30;0.00;0.00;48,561.32;39,973.11;0.00;0.00;672,214.93;0.00;1,947,413.63
nov/2011;0.00;31,593.72;229,497.48;0.00;38,064.86;0.00;0.00;252,218.21;1,283.00;231,413.83;381,871.84;0.00;10,071.90;0.00;0.00;99,849.53;44,374.42;0.00;0.00;794,507.24;0.00;2,114,746.04
dic/2011;0.00;25,774.42;215,079.84;0.00;41,929.61;0.00;0.00;263,892.43;1,295.00;291,678.03;449,904.10;0.00;13,089.60;0.00;0.00;88,815.54;57,943.79;0.00;0.00;862,318.80;0.00;2,311,721.16
ene/2012;0.00;28,849.11;199,651.92;0.00;39,631.60;0.00;0.00;242,524.90;1,100.00;261,933.68;393,781.94;0.00;11,596.50;0.00;0.00;77,569.36;44,982.71;0.00;0.00;814,956.72;0.00;2,116,578.44
feb/2012;0.00;22,730.38;295,550.29;0.00;34,550.67;0.00;0.00;243,810.95;1,295.00;253,733.22;402,633.55;0.00;9,916.70;0.00;0.00;83,515.03;49,337.47;0.00;0.00;848,067.25;0.00;2,245,140.51
mar/2012;0.00;30,672.08;351,951.02;0.00;49,247.79;0.00;0.00;270,906.08;1,467.00;290,286.65;429,534.50;0.00;162.77;0.00;0.00;103,215.64;44,877.18;0.00;0.00;925,065.27;0.00;2,497,385.98
abr/2012;0.00;27,048.12;311,653.42;0.00;34,435.19;0.00;0.00;249,493.66;1,100.00;262,615.28;389,264.02;0.00;5,720.83;0.00;0.00;94,102.14;42,650.82;0.00;0.00;792,201.73;0.00;2,210,285.21
may/2012;0.00;22,351.30;492,974.59;0.00;18,507.79;0.00;0.00;261,657.41;1,300.00;235,374.04;405,877.41;0.00;39,069.95;0.00;0.00;77,341.94;52,170.98;0.00;0.00;771,542.47;0.00;2,378,167.87
jun/2012;0.00;15,219.56;325,999.25;0.00;10,812.20;0.00;0.00;255,333.43;917.00;261,012.58;409,111.24;0.00;44,022.37;0.00;0.00;97,728.95;31,694.11;0.00;0.00;712,464.94;0.00;2,164,315.62
jul/2012;0.00;21,946.13;308,473.07;0.00;24,927.20;0.00;0.00;271,101.94;1,307.00;233,061.35;420,370.60;0.00;35,388.97;0.00;0.00;75,956.82;51,140.36;0.00;0.00;699,130.04;0.00;2,142,803.47
ago/2012;0.00;22,014.81;343,321.82;0.00;22,370.80;0.00;0.00;280,184.27;1,283.00;259,165.94;433,828.02;0.00;31,964.77;0.00;0.00;96,820.68;46,292.70;0.00;0.00;716,720.36;0.00;2,253,967.16
